,Cat(s),Hair Dryer,Smoke Detector,Wireless Internet,Other pet(s),Dog(s),Smoking Allowed,Heating,24-Hour Check-in,Family/Kid Friendly,Safety Card,Internet,Gym,Breakfast,Indoor Fireplace,Fire Extinguisher,Wheelchair Accessible,Iron,Pool,First Aid Kit,Laptop Friendly Workspace,Doorman,Carbon Monoxide Detector,Shampoo,Dryer,Buzzer/Wireless Intercom,Free Parking on Premises,Hangers,Suitable for Events,Pets Allowed,Washer / Dryer,Hot Tub,Pets live on this property,Kitchen,Elevator in Building,TV,Lock on Bedroom Door,Essentials,Air Conditioning,Washer,Cable TV,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
23,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,True,False,0.948867981790592,0.999671592775041,0.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,75.0,350.0,2613.336189848385,287.61039657020365,1,1,1125,30,60,90,365,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
24,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,0.948867981790592,0.999671592775041,0.0,1.0,1.0,5,2.5,3.0,3.0,854.6185567010309,600.0,788.4818317570931,2613.336189848385,500.0,1,3,1125,0,0,0,212,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.18
25,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,0.67,1.0,0.0,2.0,2.0,8,2.5,3.0,5.0,854.6185567010309,450.0,788.4818317570931,2613.336189848385,500.0,6,4,1125,0,3,33,293,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,2,1.3
26,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,5,1.0,2.0,3.0,854.6185567010309,150.0,788.4818317570931,2613.336189848385,250.0,1,1,1125,0,0,0,49,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
27,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1.0,1.0,1.0,5.0,5.0,2,1.0,1.0,1.0,854.6185567010309,45.0,360.0,2613.336189848385,150.0,1,2,7,22,49,49,107,80,95.0,10.0,10.0,10.0,10.0,9.0,9.0,5,4.38
28,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,1.0,1.0,0.0,5.0,5.0,6,2.0,3.0,3.0,854.6185567010309,300.0,788.4818317570931,2613.336189848385,500.0,1,2,1125,24,54,84,356,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.47
29,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,0.71,1.0,0.0,1.0,1.0,3,1.0,1.0,2.0,854.6185567010309,80.0,500.0,2613.336189848385,287.61039657020365,3,2,1125,0,1,30,305,4,85.0,8.0,9.0,7.0,10.0,9.0,9.0,1,0.33
30,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,0.98,1.0,1.0,6.0,6.0,4,1.0,1.0,1.0,854.6185567010309,175.0,1000.0,3200.0,287.61039657020365,1,2,365,19,46,62,323,38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6,1.86
31,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.97,1.0,0.0,9.0,9.0,6,1.5,3.0,3.0,854.6185567010309,325.0,788.4818317570931,2613.336189848385,500.0,6,2,1125,23,50,77,162,68,92.0,9.0,9.0,10.0,9.0,10.0,9.0,8,2.18
32,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,0.6,1.0,0.0,1.0,1.0,4,3.0,3.0,2.0,854.6185567010309,175.0,699.0,2388.0,200.0,1,4,120,0,0,9,213,8,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1,1.31
